Date/Time,selected_strategy,selected_strategy_name,clean_energy_kwh,degraded_energy_kwh,controlled_energy_kwh,excess_before_kwh,excess_after_kwh,recovered_energy_kwh,recovery_fraction,severity_score,uncertainty_score,energy_term,comfort_penalty,degradation_penalty,maintenance_cost,robustness_penalty,switching_penalty,objective
2024-01-01,S4,Maintenance-triggered control,3781.0008215324806,4202.32686012037,4042.713357568285,421.32603858788934,261.71253603580453,159.6135025520848,0.3788360745209177,0.3714413709270423,0.2,0.06921779401511201,0.04210506917839184,0.16714861691716904,0.22,0.014000000000000002,0.05,0.08912131368005413
2024-01-02,S4,Maintenance-triggered control,3581.657654756202,4028.299556917872,3844.075497500351,446.6419021616698,262.41784274414886,184.22405941752095,0.4124647923222347,0.4156752219358162,0.2,0.0732671483539683,0.04639002105490113,0.18705384987111726,0.22,0.014000000000000002,0.05,0.09478629845093355
2024-01-03,S4,Maintenance-triggered control,3808.883341621808,4264.34487232505,4082.466703753939,455.46153070324226,273.5833621321308,181.87816857111147,0.3993271798175528,0.39859585242579126,0.2,0.07182770843688797,0.04470782271084023,0.17936813359160605,0.22,0.014000000000000002,0.05,0.09264925337750854
2024-01-04,S4,Maintenance-triggered control,4063.217574365255,4554.850030901861,4356.7509658592635,491.6324565366058,293.53339149400836,198.09906504259743,0.4029413892608766,0.4033194937581024,0.2,0.07224161298816575,0.045169562440014153,0.18149377219114607,0.22,0.014000000000000002,0.05,0.09324670416134934
2024-01-05,S5,Robust uncertainty-aware control,3528.088894479361,3885.844886525993,3764.007190386114,357.75599204663195,235.91829590675297,121.83769613987897,0.34056088185379196,0.33800734878159955,0.2,0.06686858040224278,0.0412603956694632,0.27716602600091167,0.0,0.006,0.07,0.08243784421503865
2024-01-06,S4,Maintenance-triggered control,3520.4169242499124,3937.6757992584335,3772.169967463497,417.25887500852104,251.75304321358453,165.5058317949365,0.3966502373174366,0.3950847148570104,0.2,0.07151228068454563,0.044366337108999405,0.17778812168565467,0.22,0.014000000000000002,0.05,0.09220201198269362
2024-01-07,S4,Maintenance-triggered control,4057.044050239815,4578.521780458512,4358.238785065919,521.4777302186967,301.19473482610374,220.28299539259297,0.42242071449572904,0.4284545790490589,0.2,0.07423994689145658,0.04767171413189901,0.1928045605720765,0.22,0.014000000000000002,0.05,0.09634300301334674
2024-01-08,S4,Maintenance-triggered control,3806.434094604095,4374.03569724732,4102.888633026031,567.6016026432249,296.4545384219359,271.14706422128893,0.4777066572021695,0.49705453847897746,0.2,0.07788248293650543,0.054894053580935735,0.22367454231553985,0.22,0.014000000000000002,0.05,0.10405710938494557
2024-01-09,S4,Maintenance-triggered control,3428.58820329454,3901.468128530299,3689.972268650112,472.87992523575895,261.3840653555717,211.49585988018725,0.4472506625751642,0.4597421224100028,0.2,0.07623664606452504,0.05089366532336401,0.20688395508450122,0.22,0.014000000000000002,0.05,0.09999781705638426
2024-01-10,S4,Maintenance-triggered control,3725.730755346327,4336.128271377072,4019.242917088636,610.3975160307455,293.5121617423092,316.88535428843625,0.5191458778355758,0.5461098829671118,0.2,0.0787797565138401,0.06041990862118692,0.2457494473352003,0.22,0.014000000000000002,0.05,0.10887728925574547
